SERIES;INDICE PRODUCCION INDUSTRIAL. FRANCIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ALEMANIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ITALIA. CVEC
200706;1.158.000.000.000.000.000;1.018.000.000.000.000.000;1.232.000.000.000.000.000
200707;1.160.000.000.000.000.000;1.025.000.000.000.000.000;1.223.000.000.000.000.000
200708;1.167.000.000.000.000.000;1.027.000.000.000.000.000;1.271.000.000.000.000.000
200709;1.141.000.000.000.000.000;1.036.000.000.000.000.000;1.237.000.000.000.000.000
200710;1.168.000.000.000.000.000;1.038.000.000.000.000.000;1.226.000.000.000.000.000
200711;1.145.000.000.000.000.000;1.035.000.000.000.000.000;1.210.000.000.000.000.000
200712;1.148.000.000.000.000.000;1.044.000.000.000.000.000;1.218.000.000.000.000.000
200801;1.158.000.000.000.000.000;1.053.000.000.000.000.000;1.245.000.000.000.000.000
200802;1.168.000.000.000.000.000;1.049.000.000.000.000.000;1.236.000.000.000.000.000
200803;1.154.000.000.000.000.000;1.048.000.000.000.000.000;1.242.000.000.000.000.000
200804;1.181.000.000.000.000.000;1.054.000.000.000.000.000;1.255.000.000.000.000.000
200805;1.124.000.000.000.000.000;1.030.000.000.000.000.000;1.210.000.000.000.000.000
200806;1.123.000.000.000.000.000;1.041.000.000.000.000.000;1.223.000.000.000.000.000
200807;1.130.000.000.000.000.000;1.025.000.000.000.000.000;1.185.000.000.000.000.000
200808;1.113.000.000.000.000.000;1.041.000.000.000.000.000;1.157.000.000.000.000.000
200809;1.110.000.000.000.000.000;1.021.000.000.000.000.000;1.149.000.000.000.000.000
200810;1.090.000.000.000.000.000;1.000.000.000.000.000.000;1.125.000.000.000.000.000
200811;1.035.000.000.000.000.000;956.000.000.000.000.000;1.085.000.000.000.000.000
200812;1.023.000.000.000.000.000;921.000.000.000.000.000;1.039.000.000.000.000.000
200901;980.000.000.000.000.000;857.000.000.000.000.000;1.000.000.000.000.000.000
200902;968.000.000.000.000.000;829.000.000.000.000.000;963.000.000.000.000.000
200903;950.000.000.000.000.000;830.000.000.000.000.000;926.000.000.000.000.000
200904;950.000.000.000.000.000;805.000.000.000.000.000;931.000.000.000.000.000
200905;963.000.000.000.000.000;840.000.000.000.000.000;946.000.000.000.000.000
200906;975.000.000.000.000.000;854.000.000.000.000.000;939.000.000.000.000.000
200907;971.000.000.000.000.000;844.000.000.000.000.000;961.000.000.000.000.000
200908;985.000.000.000.000.000;856.000.000.000.000.000;939.000.000.000.000.000
200909;993.000.000.000.000.000;890.000.000.000.000.000;968.000.000.000.000.000
200910;985.000.000.000.000.000;873.000.000.000.000.000;985.000.000.000.000.000
200911;996.000.000.000.000.000;878.000.000.000.000.000;987.000.000.000.000.000
200912;992.000.000.000.000.000;882.000.000.000.000.000;972.000.000.000.000.000
201001;999.000.000.000.000.000;894.000.000.000.000.000;1.004.000.000.000.000.000
201002;994.000.000.000.000.000;885.000.000.000.000.000;997.000.000.000.000.000
201003;1.014.000.000.000.000.000;906.000.000.000.000.000;1.001.000.000.000.000.000
201004;1.010.000.000.000.000.000;924.000.000.000.000.000;1.010.000.000.000.000.000
201005;1.020.000.000.000.000.000;954.000.000.000.000.000;1.013.000.000.000.000.000
201006;1.015.000.000.000.000.000;944.000.000.000.000.000;1.038.000.000.000.000.000
201007;1.021.000.000.000.000.000;944.000.000.000.000.000;1.036.000.000.000.000.000
201008;1.012.000.000.000.000.000;956.000.000.000.000.000;1.074.000.000.000.000.000
201009;1.025.000.000.000.000.000;968.000.000.000.000.000;1.029.000.000.000.000.000
201010;1.024.000.000.000.000.000;989.000.000.000.000.000;1.032.000.000.000.000.000
201011;1.036.000.000.000.000.000;983.000.000.000.000.000;1.038.000.000.000.000.000
201012;1.049.000.000.000.000.000;1.002.000.000.000.000.000;1.048.000.000.000.000.000
201101;1.061.000.000.000.000.000;995.000.000.000.000.000;1.026.000.000.000.000.000
201102;1.066.000.000.000.000.000;1.005.000.000.000.000.000;1.053.000.000.000.000.000
